model,problem type,build@1,pass@1,speedup@1,speedup_max@1,efficiency@1,efficiency_max@1,build@5,pass@5,speedup@5,speedup_max@5,efficiency@5,efficiency_max@5,build@10,pass@10,speedup@10,speedup_max@10,efficiency@10,efficiency_max@10,build@20,pass@20,speedup@20,speedup_max@20,efficiency@20,efficiency_max@20
deepseek-1.3b[v2],dense_la,0.9199999999999999,0.27599999999999997,256085.62185867308,256085.62185867308,125.03778278104733,125.03778278104733,0.9999983008929751,0.44175225131680795,357.15817211824725,357.15817211824725,0.1675193888264169,0.1675193888264169,1.0,0.4985987007008787,53.49948489892562,53.49948489892562,0.019248783197455873,0.019248783197455873,1.0,0.5585713010708251,5121512.038092833,5121512.038092833,2500.731425983934,2500.731425983934
deepseek-1.3b[v2],fft,0.712,0.0,0.0,0.0,0.0,0.0,0.7998785138477222,0.0,0.0,0.0,0.0,0.0,0.799999994431615,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
deepseek-1.3b[v2],geometry,0.96,0.0,0.0,0.0,0.0,0.0,0.9999994336309918,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
deepseek-1.3b[v2],graph,0.9119999999999999,0.16400000000000003,5.368746950131726,5.368746950131726,0.00032768230896800085,0.00032768230896800085,0.9997165323113519,0.3441880156317846,5.278750753619431,5.278750753619431,0.00032218937705196725,0.00032218937705196725,0.9999999415319571,0.3876185176944055,7.294036475829514,7.294036475829514,0.0004451926559954537,0.0004451926559954537,1.0,0.3997075136157412,31.46789982679274,31.46789982679274,0.0019206481827876427,0.0019206481827876427
deepseek-1.3b[v2],histogram,0.976,0.29200000000000004,2.8922421634149535,2.8922421634149535,2.368216303843591e-06,2.368216303843591e-06,1.0,0.6038990730427232,4.236714741566729,4.236714741566729,2.4329190186140605e-06,2.4329190186140605e-06,1.0,0.7040915448067544,10.889285814213762,10.889285814213762,2.8256548503418225e-06,2.8256548503418225e-06,1.0,0.7756156350891334,10.887341960967062,10.887341960967062,2.822516173346449e-06,2.822516173346449e-06
deepseek-1.3b[v2],reduce,0.74,0.0040000000000000036,2699274.1399999997,2699274.1399999997,0.0402223190665245,0.0402223190665245,0.7999563895863618,0.019999999999999997,2699274.1399999997,2699274.1399999997,0.0402223190665245,0.0402223190665245,0.7999999997858314,0.039999999999999994,2699274.1399999997,2699274.1399999997,0.0402223190665245,0.0402223190665245,0.8,0.08,2699274.1399999997,2699274.1399999997,0.0402223190665245,0.0402223190665245
deepseek-1.3b[v2],scan,0.9480000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
deepseek-1.3b[v2],search,0.952,0.392,11.472351971114625,11.472351971114625,1.3676109279530793e-06,1.3676109279530793e-06,0.999999339236157,0.4,5.880628511369519,5.880628511369519,7.010255469524287e-07,7.010255469524287e-07,1.0,0.4,2.30613351931994,2.30613351931994,2.749125384473729e-07,2.749125384473729e-07,1.0,0.4,0.22089796691069608,0.22089796691069608,2.6333089698636064e-08,2.6333089698636064e-08
deepseek-1.3b[v2],sort,0.9480000000000001,0.016000000000000014,0.14557841833938967,0.14557841833938967,2.7766879718664106e-07,2.7766879718664106e-07,0.999925239290906,0.07060790273556232,0.5823136733575587,0.5823136733575587,1.1106751887465643e-06,1.1106751887465643e-06,0.9999999987149881,0.12063395570994354,0.5823136733575587,0.5823136733575587,1.1106751887465643e-06,1.1106751887465643e-06,1.0,0.17620060790273556,0.5823136733575587,0.5823136733575587,1.1106751887465643e-06,1.1106751887465643e-06
deepseek-1.3b[v2],sparse_la,0.9279999999999999,0.0,0.0,0.0,0.0,0.0,0.999925239290906,0.0,0.0,0.0,0.0,0.0,0.9999999987149881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
deepseek-1.3b[v2],stencil,0.9359999999999999,0.2720000000000001,831298.330603926,831298.330603926,50.73831602761537,50.73831602761537,0.9999980177084711,0.7147153051785007,630.0795954495094,630.0795954495094,0.03835182250091752,0.03835182250091752,1.0,0.8757793712278336,361.54183136784604,361.54183136784604,0.021963437086160695,0.021963437086160695,1.0,0.9720873765475255,505.7796246075304,505.7796246075304,0.0291507998655074,0.0291507998655074
deepseek-1.3b[v2],transform,1.0,0.776,26.33742856277744,26.33742856277744,2.5991927615117234e-06,2.5991927615117234e-06,1.0,0.9195123562838642,26.20075255684362,26.20075255684362,2.586575745042185e-06,2.586575745042185e-06,1.0,0.9713511657365874,49.505533598821245,49.505533598821245,3.974414886617918e-06,3.974414886617918e-06,1.0,0.997819646953739,49.470001189262234,49.470001189262234,3.971307481693495e-06,3.971307481693495e-06
,,,,,,,,,,,,,,,,,,,,,,,,,
gppd-hpc-cuda-coder-1.3b-base-full-datasets[v2],dense_la,0.9879999999999999,0.396,37.14991898983035,37.14991898983035,0.013410446075328911,0.013410446075328911,1.0,0.4,27.5975593262086,27.5975593262086,0.008747998781738167,0.008747998781738167,1.0,0.4,21.398831897161948,21.398831897161948,0.005721778403157134,0.005721778403157134,1.0,0.4,17.667433355174975,17.667433355174975,0.0039001172343616887,0.0039001172343616887
